,Year,Category,Nominee,Movie,Winner
3822,1980 (53rd),Actor -- Leading Role,Robert Duvall,The Great Santini {'Bull Meechum'},NO
3823,1980 (53rd),Actor -- Leading Role,John Hurt,The Elephant Man {'John Merrick'},NO
3824,1980 (53rd),Actor -- Leading Role,Jack Lemmon,Tribute {'Scottie Templeton'},NO
3825,1980 (53rd),Actor -- Leading Role,Peter O'Toole,The Stunt Man {'Eli Cross'},NO
3935,1979 (52nd),Actor -- Leading Role,Jack Lemmon,The China Syndrome {'Jack Godell'},NO
3936,1979 (52nd),Actor -- Leading Role,Al Pacino,...And Justice for All {'Arthur Kirkland'},NO
3937,1979 (52nd),Actor -- Leading Role,Roy Scheider,All That Jazz {'Joe Gideon'},NO
3938,1979 (52nd),Actor -- Leading Role,Peter Sellers,"Being There {'John Chance, the gardener (aka Chauncey Gardiner)'}",NO
4059,1978 (51st),Actor -- Leading Role,Warren Beatty,"Heaven Can Wait {'Joe Pendleton (alias, Leo Farnsworth, Tom Jarrett)'}",NO
4060,1978 (51st),Actor -- Leading Role,Gary Busey,The Buddy Holly Story {'Buddy Holly'},NO
4061,1978 (51st),Actor -- Leading Role,Robert De Niro,The Deer Hunter {'Michael'},NO
4062,1978 (51st),Actor -- Leading Role,Laurence Olivier,The Boys from Brazil {'Ezra Lieberman'},NO
4179,1977 (50th),Actor -- Leading Role,Woody Allen,Annie Hall {'Alvy Singer'},NO
4180,1977 (50th),Actor -- Leading Role,Richard Burton,Equus {'Dr. Martin Dysart'},NO
4182,1977 (50th),Actor -- Leading Role,Marcello Mastroianni,A Special Day {'Gabriele'},NO
4183,1977 (50th),Actor -- Leading Role,John Travolta,Saturday Night Fever {'Tony Manero'},NO
4304,1976 (49th),Actor -- Leading Role,Robert De Niro,Taxi Driver {'Travis Bickle'},NO
4306,1976 (49th),Actor -- Leading Role,Giancarlo Giannini,Seven Beauties {'Pasqualino Frafuso'},NO
4307,1976 (49th),Actor -- Leading Role,William Holden,Network {'Max Schumacher'},NO
4308,1976 (49th),Actor -- Leading Role,Sylvester Stallone,Rocky {'Rocky Balboa'},NO
4417,1975 (48th),Actor -- Leading Role,Walter Matthau,The Sunshine Boys {'Willy Clark'},NO
4419,1975 (48th),Actor -- Leading Role,Al Pacino,Dog Day Afternoon {'Sonny'},NO
4420,1975 (48th),Actor -- Leading Role,Maximilian Schell,The Man in the Glass Booth {'Arthur Goldman'},NO
4421,1975 (48th),Actor -- Leading Role,James Whitmore,"Give 'em Hell, Harry! {'Harry S. Truman'}",NO
4536,1974 (47th),Actor -- Leading Role,Albert Finney,Murder on the Orient Express {'Hercule Poirot'},NO
4537,1974 (47th),Actor -- Leading Role,Dustin Hoffman,Lenny {'Lenny Bruce'},NO
4538,1974 (47th),Actor -- Leading Role,Jack Nicholson,Chinatown {'J. J. Gittes'},NO
4539,1974 (47th),Actor -- Leading Role,Al Pacino,The Godfather Part II {'Michael Corleone'},NO
4650,1973 (46th),Actor -- Leading Role,Marlon Brando,Last Tango in Paris {'Paul'},NO
4652,1973 (46th),Actor -- Leading Role,Jack Nicholson,The Last Detail {'Signalman First Class Buddusky'},NO
4653,1973 (46th),Actor -- Leading Role,Al Pacino,Serpico {'Frank Serpico'},NO
4654,1973 (46th),Actor -- Leading Role,Robert Redford,The Sting {'Johnny Hooker'},NO
4760,1972 (45th),Actor -- Leading Role,Michael Caine,Sleuth {'Milo Tindale'},NO
4761,1972 (45th),Actor -- Leading Role,Laurence Olivier,Sleuth {'Andrew Wyke'},NO
4762,1972 (45th),Actor -- Leading Role,Peter O'Toole,"The Ruling Class {'Jack, 14th Earl of Gurney'}",NO
4763,1972 (45th),Actor -- Leading Role,Paul Winfield,Sounder {'Nathan Lee Morgan'},NO
4873,1971 (44th),Actor -- Leading Role,Peter Finch,Sunday Bloody Sunday {'Dr. Daniel Hirsh'},NO
4875,1971 (44th),Actor -- Leading Role,Walter Matthau,Kotch {'Joseph P. Kotcher'},NO
4876,1971 (44th),Actor -- Leading Role,George C. Scott,The Hospital {'Dr. Herbert Bock'},NO
4877,1971 (44th),Actor -- Leading Role,Topol,Fiddler on the Roof {'Tevye'},NO
4983,1970 (43rd),Actor -- Leading Role,Melvyn Douglas,I Never Sang for My Father {'Tom Garrison'},NO
4984,1970 (43rd),Actor -- Leading Role,James Earl Jones,The Great White Hope {'Jack Jefferson'},NO
4985,1970 (43rd),Actor -- Leading Role,Jack Nicholson,Five Easy Pieces {'Robert Eroica Dupea'},NO
4986,1970 (43rd),Actor -- Leading Role,Ryan O'Neal,Love Story {'Oliver Barrett IV'},NO
5095,1969 (42nd),Actor -- Leading Role,Richard Burton,Anne of the Thousand Days {'King Henry VIII'},NO
5096,1969 (42nd),Actor -- Leading Role,Dustin Hoffman,Midnight Cowboy {'Ratso Rizzo'},NO
5097,1969 (42nd),Actor -- Leading Role,Peter O'Toole,"Goodbye, Mr. Chips {'Arthur Chipping'}",NO
5098,1969 (42nd),Actor -- Leading Role,Jon Voight,Midnight Cowboy {'Joe Buck'},NO
5207,1968 (41st),Actor -- Leading Role,Alan Arkin,The Heart Is a Lonely Hunter {'Singer'},NO
5208,1968 (41st),Actor -- Leading Role,Alan Bates,The Fixer {'Yakov Bok'},NO
5209,1968 (41st),Actor -- Leading Role,Ron Moody,Oliver! {'Fagin'},NO
5210,1968 (41st),Actor -- Leading Role,Peter O'Toole,The Lion in Winter {'King Henry II'},NO
5327,1967 (40th),Actor -- Leading Role,Warren Beatty,Bonnie and Clyde {'Clyde Barrow'},NO
5328,1967 (40th),Actor -- Leading Role,Dustin Hoffman,The Graduate {'Ben Braddock'},NO
5329,1967 (40th),Actor -- Leading Role,Paul Newman,Cool Hand Luke {'Luke Jackson'},NO
5331,1967 (40th),Actor -- Leading Role,Spencer Tracy,Guess Who's Coming to Dinner {'Matt Drayton'},NO
5440,1966 (39th),Actor -- Leading Role,Alan Arkin,The Russians Are Coming The Russians Are Coming {'Rozanov'},NO
5441,1966 (39th),Actor -- Leading Role,Richard Burton,Who's Afraid of Virginia Woolf? {'George'},NO
5442,1966 (39th),Actor -- Leading Role,Michael Caine,Alfie {'Alfie'},NO
5443,1966 (39th),Actor -- Leading Role,Steve McQueen,The Sand Pebbles {'Jake Holman'},NO
5569,1965 (38th),Actor -- Leading Role,Richard Burton,The Spy Who Came In from the Cold {'Alec Leamas'},NO
5571,1965 (38th),Actor -- Leading Role,Laurence Olivier,Othello {'Othello'},NO
5572,1965 (38th),Actor -- Leading Role,Rod Steiger,The Pawnbroker {'Sol Nazerman'},NO
5573,1965 (38th),Actor -- Leading Role,Oskar Werner,Ship of Fools {'Dr. Schumann'},NO
5696,1964 (37th),Actor -- Leading Role,Richard Burton,Becket {'Thomas Becket'},NO
5698,1964 (37th),Actor -- Leading Role,Peter O'Toole,Becket {'King Henry II'},NO
5699,1964 (37th),Actor -- Leading Role,Anthony Quinn,Zorba the Greek {'Alexis Zorba'},NO
5700,1964 (37th),Actor -- Leading Role,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb {'Group Captain Lionel Mandrake/President Muffley/Dr. Strangelove'},NO
5828,1963 (36th),Actor -- Leading Role,Albert Finney,Tom Jones {'Tom Jones'},NO
5829,1963 (36th),Actor -- Leading Role,Richard Harris,This Sporting Life {'Frank Machin'},NO
5830,1963 (36th),Actor -- Leading Role,Rex Harrison,Cleopatra {'Julius Caesar'},NO
5831,1963 (36th),Actor -- Leading Role,Paul Newman,Hud {'Hud Bannon'},NO
5953,1962 (35th),Actor -- Leading Role,Burt Lancaster,Birdman of Alcatraz {'Robert Stroud'},NO
5954,1962 (35th),Actor -- Leading Role,Jack Lemmon,Days of Wine and Roses {'Joe Clay'},NO
5955,1962 (35th),Actor -- Leading Role,Marcello Mastroianni,Divorce--Italian Style {'Ferdinando Cefalu'},NO
5956,1962 (35th),Actor -- Leading Role,Peter O'Toole,Lawrence of Arabia {'T.E. Lawrence'},NO
6077,1961 (34th),Actor -- Leading Role,Charles Boyer,Fanny {'César'},NO
6078,1961 (34th),Actor -- Leading Role,Paul Newman,The Hustler {'Eddie Felson'},NO
6080,1961 (34th),Actor -- Leading Role,Spencer Tracy,Judgment at Nuremberg {'Judge Dan Haywood'},NO
6081,1961 (34th),Actor -- Leading Role,Stuart Whitman,The Mark {'Jim Fuller'},NO
6206,1960 (33rd),Actor -- Leading Role,Trevor Howard,Sons and Lovers {'Morel'},NO
6208,1960 (33rd),Actor -- Leading Role,Jack Lemmon,The Apartment {'C.C. 'Bud' Baxter'},NO
6209,1960 (33rd),Actor -- Leading Role,Laurence Olivier,The Entertainer {'Archie Rice'},NO
6210,1960 (33rd),Actor -- Leading Role,Spencer Tracy,Inherit the Wind {'Henry Drummond'},NO
6333,1959 (32nd),Actor -- Leading Role,Laurence Harvey,Room at the Top {'Joe Lampton'},NO
6335,1959 (32nd),Actor -- Leading Role,Jack Lemmon,Some Like It Hot {'Jerry/Daphne'},NO
6336,1959 (32nd),Actor -- Leading Role,Paul Muni,The Last Angry Man {'Dr. Sam Abelman'},NO
6337,1959 (32nd),Actor -- Leading Role,James Stewart,Anatomy of a Murder {'Paul Biegler'},NO
6459,1958 (31st),Actor -- Leading Role,Tony Curtis,The Defiant Ones {'John 'Joker' Jackson'},NO
6460,1958 (31st),Actor -- Leading Role,Paul Newman,Cat on a Hot Tin Roof {'Brick Pollitt'},NO
6462,1958 (31st),Actor -- Leading Role,Sidney Poitier,The Defiant Ones {'Noah Cullen'},NO
6463,1958 (31st),Actor -- Leading Role,Spencer Tracy,The Old Man and the Sea {'The Old Man'},NO
6574,1957 (30th),Actor -- Leading Role,Marlon Brando,Sayonara {'Major Lloyd Gruver'},NO
6575,1957 (30th),Actor -- Leading Role,Anthony Franciosa,A Hatful of Rain {'Polo'},NO
6577,1957 (30th),Actor -- Leading Role,Charles Laughton,Witness for the Prosecution {'Sir Wilfrid Robarts'},NO
6578,1957 (30th),Actor -- Leading Role,Anthony Quinn,Wild Is the Wind {'Gino'},NO
6681,1956 (29th),Actor -- Leading Role,James Dean,Giant {'Jett Rink'},NO
6682,1956 (29th),Actor -- Leading Role,Kirk Douglas,Lust for Life {'Vincent Van Gogh'},NO
6683,1956 (29th),Actor -- Leading Role,Rock Hudson,Giant {'Bick Benedict'},NO
6684,1956 (29th),Actor -- Leading Role,Sir Laurence Olivier,Richard III {'Richard III'},NO
6815,1955 (28th),Actor -- Leading Role,James Cagney,Love Me or Leave Me {'Martin Snyder'},NO
6816,1955 (28th),Actor -- Leading Role,James Dean,East of Eden {'Cal Trask'},NO
6817,1955 (28th),Actor -- Leading Role,Frank Sinatra,The Man with the Golden Arm {'Frankie'},NO
6818,1955 (28th),Actor -- Leading Role,Spencer Tracy,Bad Day at Black Rock {'John J. Macreedy'},NO
6946,1954 (27th),Actor -- Leading Role,Humphrey Bogart,The Caine Mutiny {'Captain Queeg'},NO
6948,1954 (27th),Actor -- Leading Role,Bing Crosby,The Country Girl {'Frank Elgin'},NO
6949,1954 (27th),Actor -- Leading Role,James Mason,A Star Is Born {'Norman Maine/Alfred Hinkel'},NO
6950,1954 (27th),Actor -- Leading Role,Dan O'Herlihy,Adventures of Robinson Crusoe {'Robinson Crusoe'},NO
7087,1953 (26th),Actor -- Leading Role,Marlon Brando,Julius Caesar {'Marc Antony'},NO
7088,1953 (26th),Actor -- Leading Role,Richard Burton,The Robe {'Marcellus Gallio'},NO
7089,1953 (26th),Actor -- Leading Role,Montgomery Clift,From Here to Eternity {'Robert E. Lee Prewitt'},NO
7091,1953 (26th),Actor -- Leading Role,Burt Lancaster,From Here to Eternity {'Sgt. Milton Warden'},NO
7222,1952 (25th),Actor -- Leading Role,Marlon Brando,Viva Zapata! {'Emiliano Zapata'},NO
7224,1952 (25th),Actor -- Leading Role,Kirk Douglas,The Bad and the Beautiful {'Jonathan Shields'},NO
7225,1952 (25th),Actor -- Leading Role,José Ferrer,Moulin Rouge {'Toulouse-Lautrec'},NO
7226,1952 (25th),Actor -- Leading Role,Alec Guinness,The Lavender Hill Mob {'Holland'},NO
7361,1951 (24th),Actor -- Leading Role,Marlon Brando,A Streetcar Named Desire {'Stanley Kowalski'},NO
7362,1951 (24th),Actor -- Leading Role,Montgomery Clift,A Place in the Sun {'George Eastman'},NO
7363,1951 (24th),Actor -- Leading Role,Arthur Kennedy,Bright Victory {'Larry Levins'},NO
7364,1951 (24th),Actor -- Leading Role,Fredric March,Death of a Salesman {'Willy Loman'},NO
7487,1950 (23rd),Actor -- Leading Role,Louis Calhern,The Magnificent Yankee {'Oliver Wendell Holmes'},NO
7489,1950 (23rd),Actor -- Leading Role,William Holden,Sunset Blvd. {'Joe Gillis'},NO
7490,1950 (23rd),Actor -- Leading Role,James Stewart,Harvey {'Elwood P. Dowd'},NO
7491,1950 (23rd),Actor -- Leading Role,Spencer Tracy,Father of the Bride {'Stanley T. Banks'},NO
7604,1949 (22nd),Actor -- Leading Role,Kirk Douglas,Champion {'Midge Kelly'},NO
7605,1949 (22nd),Actor -- Leading Role,Gregory Peck,Twelve O'Clock High {'General Savage'},NO
7606,1949 (22nd),Actor -- Leading Role,Richard Todd,The Hasty Heart {'Lachie'},NO
7607,1949 (22nd),Actor -- Leading Role,John Wayne,Sands of Iwo Jima {'Sergeant John M. Stryker'},NO
7725,1948 (21st),Actor -- Leading Role,Lew Ayres,Johnny Belinda {'Dr. Robert Richardson'},NO
7726,1948 (21st),Actor -- Leading Role,Montgomery Clift,The Search {'Ralph Stevenson'},NO
7727,1948 (21st),Actor -- Leading Role,Dan Dailey,When My Baby Smiles at Me {'Skid'},NO
7729,1948 (21st),Actor -- Leading Role,Clifton Webb,Sitting Pretty {'Lynn Belvedere'},NO
7841,1947 (20th),Actor -- Leading Role,John Garfield,Body and Soul {'Charlie Davis'},NO
7842,1947 (20th),Actor -- Leading Role,Gregory Peck,Gentleman's Agreement {'Phil Green'},NO
7843,1947 (20th),Actor -- Leading Role,William Powell,Life with Father {'Clarence Day'},NO
7844,1947 (20th),Actor -- Leading Role,Michael Redgrave,Mourning Becomes Electra {'Orin Mannon'},NO
7955,1946 (19th),Actor -- Leading Role,Laurence Olivier,Henry V {'Henry V'},NO
7956,1946 (19th),Actor -- Leading Role,Larry Parks,The Jolson Story {'Al Jolson'},NO
7957,1946 (19th),Actor -- Leading Role,Gregory Peck,The Yearling {'Pa Baxter'},NO
7958,1946 (19th),Actor -- Leading Role,James Stewart,It's a Wonderful Life {'George Bailey'},NO
8069,1945 (18th),Actor -- Leading Role,Bing Crosby,The Bells of St. Mary's {'Father O'Malley'},NO
8070,1945 (18th),Actor -- Leading Role,Gene Kelly,Anchors Aweigh {'Joseph Brady'},NO
8072,1945 (18th),Actor -- Leading Role,Gregory Peck,The Keys of the Kingdom {'Father Francis Chisholm'},NO
8073,1945 (18th),Actor -- Leading Role,Cornel Wilde,A Song to Remember {'Frederick Chopin'},NO
8232,1944 (17th),Actor -- Leading Role,Charles Boyer,Gaslight {'Gregory Anton'},NO
8234,1944 (17th),Actor -- Leading Role,Barry Fitzgerald,Going My Way {'Father Fitzgibbon'},NO
8235,1944 (17th),Actor -- Leading Role,Cary Grant,None but the Lonely Heart {'Ernie Mott'},NO
8236,1944 (17th),Actor -- Leading Role,Alexander Knox,Wilson {'Woodrow Wilson'},NO
8413,1943 (16th),Actor -- Leading Role,Humphrey Bogart,Casablanca {'Rick Blane'},NO
8414,1943 (16th),Actor -- Leading Role,Gary Cooper,For Whom the Bell Tolls {'Robert Jordan'},NO
8416,1943 (16th),Actor -- Leading Role,Walter Pidgeon,Madame Curie {'Pierre Curie'},NO
8417,1943 (16th),Actor -- Leading Role,Mickey Rooney,The Human Comedy {'Homer Macauley'},NO
