Student ID,student_name,gender,grade,school_name,reading_score,math_score,School ID,type,size,budget
55,Jerry Gordon,M,12th,Huang High School,95,71,0,District,2917,1910635
56,Michael Cox,M,11th,Huang High School,72,72,0,District,2917,1910635
57,Madeline Snyder MD,F,9th,Huang High School,97,56,0,District,2917,1910635
58,Allison King,F,11th,Huang High School,74,84,0,District,2917,1910635
59,Theresa Meyer,F,9th,Huang High School,88,70,0,District,2917,1910635
60,Jared Wood,M,9th,Huang High School,63,89,0,District,2917,1910635
61,Eric Maynard,M,9th,Huang High School,64,95,0,District,2917,1910635
62,Mark Owens,M,11th,Huang High School,74,65,0,District,2917,1910635
63,Ronnie Conley,M,11th,Huang High School,77,61,0,District,2917,1910635
64,Kimberly Davis,F,12th,Huang High School,87,57,0,District,2917,1910635
65,Amy Mitchell,F,11th,Huang High School,74,60,0,District,2917,1910635
66,Mr. Dylan Taylor MD,M,10th,Huang High School,77,93,0,District,2917,1910635
67,Elizabeth Henderson,F,12th,Huang High School,70,60,0,District,2917,1910635
68,James Lopez,M,12th,Huang High School,65,82,0,District,2917,1910635
69,Michael Morgan,M,11th,Huang High School,75,89,0,District,2917,1910635
70,Angela Francis,F,12th,Huang High School,70,60,0,District,2917,1910635
71,Breanna Taylor,F,10th,Huang High School,93,68,0,District,2917,1910635
72,Jason Johnson,M,12th,Huang High School,82,65,0,District,2917,1910635
73,Kyle Martin,M,10th,Huang High School,72,94,0,District,2917,1910635
74,Dr. Scott Gill,M,10th,Huang High School,85,85,0,District,2917,1910635
75,Lisa Long,F,10th,Huang High School,87,62,0,District,2917,1910635
76,Erin Liu,F,9th,Huang High School,78,76,0,District,2917,1910635
77,Marcus Richards,M,12th,Huang High School,83,76,0,District,2917,1910635
78,Jason Thompson,M,12th,Huang High School,99,57,0,District,2917,1910635
79,Elizabeth Mckinney,F,9th,Huang High School,74,81,0,District,2917,1910635
80,Jessica Bailey,F,10th,Huang High School,67,70,0,District,2917,1910635
81,Lisa Frye,F,12th,Huang High School,94,73,0,District,2917,1910635
82,Lindsey Baker,F,11th,Huang High School,81,57,0,District,2917,1910635
83,Lisa Ramirez,F,12th,Huang High School,64,76,0,District,2917,1910635
84,Joseph Butler,M,10th,Huang High School,77,63,0,District,2917,1910635
85,Tina Lynch,F,10th,Huang High School,94,60,0,District,2917,1910635
86,Leah Benitez,F,10th,Huang High School,93,84,0,District,2917,1910635
87,Elizabeth Parker,F,10th,Huang High School,85,56,0,District,2917,1910635
88,Melissa Hunter,F,10th,Huang High School,90,70,0,District,2917,1910635
89,Miss Madison Everett,F,11th,Huang High School,70,78,0,District,2917,1910635
90,Ronald Garcia,M,9th,Huang High School,99,86,0,District,2917,1910635
91,Mark Cherry,M,10th,Huang High School,96,98,0,District,2917,1910635
92,Ryan Stokes,M,9th,Huang High School,75,72,0,District,2917,1910635
93,Isaiah Maldonado,M,10th,Huang High School,84,91,0,District,2917,1910635
94,Micheal Dennis,M,12th,Huang High School,86,61,0,District,2917,1910635
95,Kevin Martinez,M,11th,Huang High School,89,58,0,District,2917,1910635
96,Jessica Smith,F,9th,Huang High School,77,72,0,District,2917,1910635
97,Dawn Trujillo,F,11th,Huang High School,82,87,0,District,2917,1910635
98,Virginia Ramirez MD,F,10th,Huang High School,99,89,0,District,2917,1910635
99,Marc Hernandez,M,10th,Huang High School,87,63,0,District,2917,1910635
100,Jose Gonzalez,M,12th,Huang High School,69,67,0,District,2917,1910635
101,Jason Dennis,M,10th,Huang High School,72,57,0,District,2917,1910635
102,Gary Morris,M,11th,Huang High School,74,58,0,District,2917,1910635
103,William Mcdonald,M,12th,Huang High School,86,74,0,District,2917,1910635
104,Michael Savage,M,9th,Huang High School,75,66,0,District,2917,1910635
105,Alexis Todd,F,11th,Huang High School,82,95,0,District,2917,1910635
106,David Hansen,M,10th,Huang High School,76,86,0,District,2917,1910635
107,Steven Mendez,M,12th,Huang High School,68,88,0,District,2917,1910635
108,Ryan Lynch,M,12th,Huang High School,77,67,0,District,2917,1910635
109,Timothy Marks,M,9th,Huang High School,78,62,0,District,2917,1910635
110,Alexander Johns,M,10th,Huang High School,67,77,0,District,2917,1910635
111,Kenneth Chavez,M,9th,Huang High School,70,79,0,District,2917,1910635
112,Dennis Williams,M,10th,Huang High School,88,67,0,District,2917,1910635
113,Michael Roy,M,12th,Huang High School,85,73,0,District,2917,1910635
114,Richard Ryan,M,12th,Huang High School,88,86,0,District,2917,1910635
115,Matthew Reyes,M,12th,Huang High School,79,60,0,District,2917,1910635
116,Stephanie Ward,F,11th,Huang High School,75,69,0,District,2917,1910635
117,Christopher Tucker,M,10th,Huang High School,80,90,0,District,2917,1910635
118,Daniel Jones,M,12th,Huang High School,66,68,0,District,2917,1910635
119,Devin Craig,M,10th,Huang High School,65,80,0,District,2917,1910635
120,Erin Prince,F,12th,Huang High School,88,81,0,District,2917,1910635
121,Bernard Ortiz,M,11th,Huang High School,78,76,0,District,2917,1910635
122,Nicole Miller,F,10th,Huang High School,98,57,0,District,2917,1910635
123,Christopher Fritz,M,9th,Huang High School,88,77,0,District,2917,1910635
124,Bonnie Mckinney,F,11th,Huang High School,63,65,0,District,2917,1910635
125,Troy Nelson,M,11th,Huang High School,79,63,0,District,2917,1910635
126,Jennifer Lee,F,12th,Huang High School,93,66,0,District,2917,1910635
127,Ronald Ward,M,10th,Huang High School,74,89,0,District,2917,1910635
128,Nathaniel Hampton,M,11th,Huang High School,70,81,0,District,2917,1910635
129,Michael Travis,M,11th,Huang High School,65,79,0,District,2917,1910635
130,James Taylor,M,9th,Huang High School,77,71,0,District,2917,1910635
131,Thomas Strickland,M,9th,Huang High School,63,77,0,District,2917,1910635
132,Brittany Jackson,F,9th,Huang High School,79,57,0,District,2917,1910635
133,Marisa Lowe,F,9th,Huang High School,95,95,0,District,2917,1910635
134,Nicole Thomas,F,9th,Huang High School,83,59,0,District,2917,1910635
135,Matthew Rodriguez,M,12th,Huang High School,80,79,0,District,2917,1910635
136,Kent Fernandez,M,12th,Huang High School,66,58,0,District,2917,1910635
137,Michelle Martin,F,12th,Huang High School,86,92,0,District,2917,1910635
138,John Sparks,M,9th,Huang High School,74,91,0,District,2917,1910635
139,Ann Blake,F,11th,Huang High School,97,75,0,District,2917,1910635
140,Melissa Miller,F,12th,Huang High School,76,67,0,District,2917,1910635
141,Steven Houston,M,9th,Huang High School,99,71,0,District,2917,1910635
142,Kristen Anderson,F,11th,Huang High School,78,76,0,District,2917,1910635
143,Cory Jones,M,11th,Huang High School,82,73,0,District,2917,1910635
144,Jennifer Mora,F,10th,Huang High School,98,73,0,District,2917,1910635
145,Dennis Griffin,M,9th,Huang High School,78,71,0,District,2917,1910635
146,Darryl Brown,M,10th,Huang High School,98,90,0,District,2917,1910635
147,Martin Mosley,M,10th,Huang High School,90,67,0,District,2917,1910635
148,Joyce Diaz,F,10th,Huang High School,85,58,0,District,2917,1910635
149,Jeffrey Rose,M,12th,Huang High School,81,91,0,District,2917,1910635
150,Jamie Moreno,F,9th,Huang High School,78,99,0,District,2917,1910635
151,Catherine Williams,F,9th,Huang High School,66,56,0,District,2917,1910635
152,Lauren Byrd,F,11th,Huang High School,66,92,0,District,2917,1910635
153,Vanessa Frazier,F,10th,Huang High School,85,82,0,District,2917,1910635
154,Stephen Bryant,M,11th,Huang High School,83,77,0,District,2917,1910635
155,Lawrence Liu,M,12th,Huang High School,82,73,0,District,2917,1910635
156,Joseph Larsen,M,9th,Huang High School,88,82,0,District,2917,1910635
157,Susan Collier,F,11th,Huang High School,76,92,0,District,2917,1910635
158,Meagan Jensen,F,9th,Huang High School,66,67,0,District,2917,1910635
159,Julie Harper,F,12th,Huang High School,88,73,0,District,2917,1910635
160,Meghan Carroll,F,12th,Huang High School,75,98,0,District,2917,1910635
161,Wanda Horton,F,11th,Huang High School,68,88,0,District,2917,1910635
162,Mary Campbell,F,10th,Huang High School,72,56,0,District,2917,1910635
163,Jennifer Rodgers,F,11th,Huang High School,83,98,0,District,2917,1910635
164,Heather Cooper,F,12th,Huang High School,85,61,0,District,2917,1910635
165,Ryan Perez,M,11th,Huang High School,70,87,0,District,2917,1910635
166,Ryan Cox,M,12th,Huang High School,95,72,0,District,2917,1910635
167,Darren Zavala,M,10th,Huang High School,64,84,0,District,2917,1910635
168,Joseph Morales III,M,10th,Huang High School,64,85,0,District,2917,1910635
169,Aaron West,M,10th,Huang High School,98,67,0,District,2917,1910635
170,James Combs,M,10th,Huang High School,65,82,0,District,2917,1910635
171,Curtis Garner,M,10th,Huang High School,79,78,0,District,2917,1910635
172,Sarah Miller,F,10th,Huang High School,94,71,0,District,2917,1910635
173,Samantha Thomas,F,10th,Huang High School,92,62,0,District,2917,1910635
174,Robert Atkins,M,9th,Huang High School,85,97,0,District,2917,1910635
175,Alexis Crawford,M,10th,Huang High School,70,82,0,District,2917,1910635
176,Ryan Maddox,M,11th,Huang High School,80,80,0,District,2917,1910635
177,Jonathan Meyer,M,9th,Huang High School,65,79,0,District,2917,1910635
178,Donna Wagner,F,10th,Huang High School,95,61,0,District,2917,1910635
179,William Kennedy,M,11th,Huang High School,76,56,0,District,2917,1910635
180,Kimberly Martinez,F,11th,Huang High School,84,83,0,District,2917,1910635
181,Matthew Anderson,M,11th,Huang High School,92,99,0,District,2917,1910635
182,Kari Miller,F,9th,Huang High School,88,55,0,District,2917,1910635
183,Jenna Luna,F,9th,Huang High School,73,91,0,District,2917,1910635
184,Justin Contreras,M,12th,Huang High School,89,63,0,District,2917,1910635
185,Mary Fox,F,11th,Huang High School,94,92,0,District,2917,1910635
186,Joseph Perkins,M,10th,Huang High School,96,76,0,District,2917,1910635
187,Kelly Phillips,F,12th,Huang High School,78,90,0,District,2917,1910635
188,Justin Thornton,M,11th,Huang High School,65,61,0,District,2917,1910635
189,Joshua Barber,M,10th,Huang High School,77,61,0,District,2917,1910635
190,Travis Jackson,M,11th,Huang High School,86,96,0,District,2917,1910635
191,Jordan Beasley,F,10th,Huang High School,96,59,0,District,2917,1910635
192,Kevin Allen,M,12th,Huang High School,68,63,0,District,2917,1910635
193,Victoria Harris,F,11th,Huang High School,89,59,0,District,2917,1910635
194,Victoria Joseph,F,12th,Huang High School,72,56,0,District,2917,1910635
195,Brandy Marshall,F,11th,Huang High School,86,60,0,District,2917,1910635
196,Ryan Jimenez,M,11th,Huang High School,63,89,0,District,2917,1910635
197,Michael Chan,M,9th,Huang High School,63,69,0,District,2917,1910635
198,Christopher Phillips,M,9th,Huang High School,86,55,0,District,2917,1910635
199,Kevin Murphy,M,10th,Huang High School,85,99,0,District,2917,1910635
200,Vanessa Harper,F,12th,Huang High School,85,85,0,District,2917,1910635
201,James Ferguson,M,9th,Huang High School,96,66,0,District,2917,1910635
202,Carol Schroeder,F,12th,Huang High School,83,61,0,District,2917,1910635
203,Jerry Phillips,M,10th,Huang High School,82,72,0,District,2917,1910635
204,Kristin Wade,F,9th,Huang High School,71,56,0,District,2917,1910635
205,Jessica Warner,F,11th,Huang High School,94,83,0,District,2917,1910635
206,Dorothy Burke,F,11th,Huang High School,91,92,0,District,2917,1910635
207,Bethany Walter,F,9th,Huang High School,88,76,0,District,2917,1910635
208,Melissa Avery,F,9th,Huang High School,83,86,0,District,2917,1910635
209,Daniel Sutton,M,11th,Huang High School,86,96,0,District,2917,1910635
210,Ryan Johnson,M,9th,Huang High School,63,79,0,District,2917,1910635
211,Timothy Quinn,M,10th,Huang High School,83,76,0,District,2917,1910635
212,Zachary Allen,M,10th,Huang High School,64,87,0,District,2917,1910635
213,Lauren Schmitt,F,12th,Huang High School,71,61,0,District,2917,1910635
214,Stephanie Armstrong,F,11th,Huang High School,70,66,0,District,2917,1910635
215,Ruben Rivera,M,9th,Huang High School,65,79,0,District,2917,1910635
216,Patricia Petty,F,12th,Huang High School,79,98,0,District,2917,1910635
217,Joseph Jacobs,M,11th,Huang High School,96,68,0,District,2917,1910635
218,Bianca Wilson,F,11th,Huang High School,66,62,0,District,2917,1910635
219,Donald Perez,M,9th,Huang High School,87,79,0,District,2917,1910635
220,Curtis Gomez,M,9th,Huang High School,77,77,0,District,2917,1910635
221,Courtney Brown,F,9th,Huang High School,90,88,0,District,2917,1910635
222,Nicole Randall,F,9th,Huang High School,94,78,0,District,2917,1910635
223,Steven Lambert,M,11th,Huang High School,64,56,0,District,2917,1910635
224,Anthony Alvarez,M,10th,Huang High School,93,90,0,District,2917,1910635
225,Shawn Farrell,M,10th,Huang High School,89,87,0,District,2917,1910635
226,Jesus Schmidt,M,9th,Huang High School,80,76,0,District,2917,1910635
227,Laura Wright,F,12th,Huang High School,89,69,0,District,2917,1910635
228,Steven Smith,M,11th,Huang High School,66,65,0,District,2917,1910635
229,Norman Thompson,M,9th,Huang High School,99,78,0,District,2917,1910635
230,Anthony Wright,M,10th,Huang High School,76,64,0,District,2917,1910635
231,Kayla Watts,F,11th,Huang High School,74,89,0,District,2917,1910635
232,Aimee Johnson,F,9th,Huang High School,97,55,0,District,2917,1910635
233,Heidi Scott,F,12th,Huang High School,77,98,0,District,2917,1910635
234,Anthony Williams,M,10th,Huang High School,78,93,0,District,2917,1910635
235,Sarah Hill,F,12th,Huang High School,88,97,0,District,2917,1910635
236,Kim Wang,F,9th,Huang High School,90,71,0,District,2917,1910635
237,Beth Manning,F,11th,Huang High School,88,92,0,District,2917,1910635
238,Ryan Hanson,M,12th,Huang High School,87,83,0,District,2917,1910635
239,James Wood,M,9th,Huang High School,70,81,0,District,2917,1910635
240,Corey Greene,M,10th,Huang High School,70,94,0,District,2917,1910635
241,John Carter,M,11th,Huang High School,95,83,0,District,2917,1910635
242,Beth Garza,F,11th,Huang High School,75,92,0,District,2917,1910635
243,Karen Jones,F,9th,Huang High School,78,96,0,District,2917,1910635
244,Stephanie Poole,F,10th,Huang High School,95,59,0,District,2917,1910635
245,Lisa Brown,F,9th,Huang High School,99,72,0,District,2917,1910635
246,Paul Scott,M,10th,Huang High School,64,78,0,District,2917,1910635
247,Evelyn Buck,F,10th,Huang High School,68,60,0,District,2917,1910635
248,Terry Harrell,M,9th,Huang High School,86,69,0,District,2917,1910635
249,Leah Skinner,F,11th,Huang High School,70,79,0,District,2917,1910635
250,Anthony Mercado,M,11th,Huang High School,95,97,0,District,2917,1910635
251,Walter Kelly,M,9th,Huang High School,80,78,0,District,2917,1910635
252,Lori Evans,F,10th,Huang High School,99,66,0,District,2917,1910635
253,Ashley Jones,F,12th,Huang High School,96,72,0,District,2917,1910635
254,Amber Soto,F,9th,Huang High School,82,60,0,District,2917,1910635
255,Patrick Phillips,M,10th,Huang High School,64,62,0,District,2917,1910635
256,Linda Curry,F,11th,Huang High School,74,76,0,District,2917,1910635
257,Alexander Obrien,M,10th,Huang High School,68,90,0,District,2917,1910635
258,Vincent Garza,M,10th,Huang High School,97,61,0,District,2917,1910635
259,Terry Marsh,M,11th,Huang High School,99,69,0,District,2917,1910635
260,Angela Perkins DVM,F,11th,Huang High School,76,56,0,District,2917,1910635
261,Peter Hampton,M,9th,Huang High School,83,97,0,District,2917,1910635
262,David Cross,M,11th,Huang High School,68,61,0,District,2917,1910635
263,Clinton Ortega,M,10th,Huang High School,93,62,0,District,2917,1910635
264,Jamie Escobar,F,10th,Huang High School,91,91,0,District,2917,1910635
265,Sandra Mason,F,12th,Huang High School,76,83,0,District,2917,1910635
266,Craig Cole,M,12th,Huang High School,83,92,0,District,2917,1910635
267,Lisa Warren,F,12th,Huang High School,70,81,0,District,2917,1910635
268,Maria Howard,F,9th,Huang High School,74,91,0,District,2917,1910635
269,Michael Porter,M,11th,Huang High School,86,68,0,District,2917,1910635
270,John Turner,M,11th,Huang High School,78,99,0,District,2917,1910635
271,Timothy Wang,M,12th,Huang High School,93,75,0,District,2917,1910635
272,Amanda Taylor,F,9th,Huang High School,73,58,0,District,2917,1910635
273,Karen Mckenzie,F,9th,Huang High School,82,64,0,District,2917,1910635
274,Brandon Miles,M,11th,Huang High School,98,76,0,District,2917,1910635
275,Christina Whitaker,F,12th,Huang High School,86,89,0,District,2917,1910635
276,Nicole Peterson,F,9th,Huang High School,78,98,0,District,2917,1910635
277,Ashley Moore,F,9th,Huang High School,67,74,0,District,2917,1910635
278,Todd Carrillo,M,10th,Huang High School,80,99,0,District,2917,1910635
279,Robert Williams,M,10th,Huang High School,63,68,0,District,2917,1910635
280,Ashley Jones,F,9th,Huang High School,92,72,0,District,2917,1910635
281,Vanessa Parker,F,9th,Huang High School,67,78,0,District,2917,1910635
282,Robert Carlson,M,12th,Huang High School,73,82,0,District,2917,1910635
283,Jared Lewis,M,10th,Huang High School,77,56,0,District,2917,1910635
284,Christopher Hernandez,M,10th,Huang High School,92,64,0,District,2917,1910635
285,Kimberly Harris,F,9th,Huang High School,66,59,0,District,2917,1910635
286,Katrina Hill,F,10th,Huang High School,73,73,0,District,2917,1910635
287,Heather Lee,F,9th,Huang High School,71,69,0,District,2917,1910635
288,Donald Harmon,M,11th,Huang High School,63,67,0,District,2917,1910635
289,Elizabeth Sanders,F,10th,Huang High School,82,64,0,District,2917,1910635
290,Richard Ramsey,M,12th,Huang High School,80,60,0,District,2917,1910635
291,Carmen Johnson,F,12th,Huang High School,89,79,0,District,2917,1910635
292,Elaine Osborne,F,10th,Huang High School,91,69,0,District,2917,1910635
293,Kent Burns,M,9th,Huang High School,81,72,0,District,2917,1910635
294,Meagan Smith,F,11th,Huang High School,67,87,0,District,2917,1910635
295,Craig Hahn,M,9th,Huang High School,92,73,0,District,2917,1910635
296,Jeremy Wu,M,11th,Huang High School,72,81,0,District,2917,1910635
297,Aaron Rodriguez,M,11th,Huang High School,75,78,0,District,2917,1910635
298,Matthew Taylor,M,10th,Huang High School,64,63,0,District,2917,1910635
299,Diana Evans,F,11th,Huang High School,96,94,0,District,2917,1910635
300,Michele Pearson,F,12th,Huang High School,89,98,0,District,2917,1910635
301,Erik Wagner,M,12th,Huang High School,92,61,0,District,2917,1910635
302,Maria Welch,F,12th,Huang High School,74,97,0,District,2917,1910635
303,Debra Martin,F,12th,Huang High School,68,55,0,District,2917,1910635
304,Devon Conner,M,9th,Huang High School,91,89,0,District,2917,1910635
305,Christine Patel,F,9th,Huang High School,99,94,0,District,2917,1910635
306,David Lopez,M,9th,Huang High School,95,95,0,District,2917,1910635
307,Nathan Baird,M,11th,Huang High School,68,59,0,District,2917,1910635
308,Samuel Castillo,M,11th,Huang High School,98,57,0,District,2917,1910635
309,Rebecca Payne,F,11th,Huang High School,77,66,0,District,2917,1910635
310,Carl Johnson,M,10th,Huang High School,64,95,0,District,2917,1910635
311,William Adams,M,12th,Huang High School,85,82,0,District,2917,1910635
312,Paula Harrison,F,11th,Huang High School,81,91,0,District,2917,1910635
313,Wayne Atkinson,M,11th,Huang High School,86,63,0,District,2917,1910635
314,Lindsay Frank,F,9th,Huang High School,92,66,0,District,2917,1910635
315,Jose Garcia,M,10th,Huang High School,67,84,0,District,2917,1910635
316,Andrew Gaines,M,12th,Huang High School,68,87,0,District,2917,1910635
317,Rachael Liu,F,10th,Huang High School,77,79,0,District,2917,1910635
318,Donald Lewis,M,11th,Huang High School,72,72,0,District,2917,1910635
319,Shane Edwards,M,9th,Huang High School,74,59,0,District,2917,1910635
320,Todd Levy,M,12th,Huang High School,91,94,0,District,2917,1910635
321,Joanna Moore,F,10th,Huang High School,84,66,0,District,2917,1910635
322,Michael Lewis,M,9th,Huang High School,98,90,0,District,2917,1910635
323,James Robinson,M,9th,Huang High School,91,60,0,District,2917,1910635
324,Jeffrey Arellano,M,9th,Huang High School,89,87,0,District,2917,1910635
325,Heather Allen MD,F,11th,Huang High School,96,94,0,District,2917,1910635
326,Lori Villarreal,F,9th,Huang High School,66,81,0,District,2917,1910635
327,Robert Harper,M,12th,Huang High School,78,85,0,District,2917,1910635
328,Karen Villegas,F,9th,Huang High School,76,57,0,District,2917,1910635
329,Tracey Crane,F,9th,Huang High School,77,97,0,District,2917,1910635
330,Elizabeth Allen,F,9th,Huang High School,73,77,0,District,2917,1910635
331,Jorge Lynn,M,11th,Huang High School,93,66,0,District,2917,1910635
332,Harold Gordon,M,11th,Huang High School,98,66,0,District,2917,1910635
333,Nicholas Mcclain,M,9th,Huang High School,76,90,0,District,2917,1910635
334,Tanya Harris,F,11th,Huang High School,85,86,0,District,2917,1910635
335,Amy Smith,F,12th,Huang High School,93,93,0,District,2917,1910635
336,Kathy Morse,F,11th,Huang High School,64,91,0,District,2917,1910635
337,Andrea Wood,F,10th,Huang High School,77,70,0,District,2917,1910635
338,Maureen Massey,F,9th,Huang High School,98,76,0,District,2917,1910635
339,Daniel Smith,M,11th,Huang High School,66,81,0,District,2917,1910635
340,Alexandra Smith,F,11th,Huang High School,78,77,0,District,2917,1910635
341,Caitlin Hall,F,11th,Huang High School,72,58,0,District,2917,1910635
342,Jose Carlson,M,11th,Huang High School,90,91,0,District,2917,1910635
343,Deborah Macias,F,9th,Huang High School,90,87,0,District,2917,1910635
344,Dwayne Rice,M,11th,Huang High School,99,78,0,District,2917,1910635
345,Matthew Harris,M,10th,Huang High School,69,80,0,District,2917,1910635
346,Eric Bowman,M,9th,Huang High School,80,94,0,District,2917,1910635
347,Samuel Ali,M,9th,Huang High School,66,91,0,District,2917,1910635
348,David Miller,M,12th,Huang High School,70,92,0,District,2917,1910635
349,James Moreno,M,11th,Huang High School,89,63,0,District,2917,1910635
350,Brooke Austin,F,11th,Huang High School,78,98,0,District,2917,1910635
351,Alisha Martin,F,10th,Huang High School,65,68,0,District,2917,1910635
352,Neil Rodriguez,M,10th,Huang High School,98,69,0,District,2917,1910635
353,Gary Williams,M,10th,Huang High School,73,56,0,District,2917,1910635
354,Michael Pittman,M,12th,Huang High School,89,60,0,District,2917,1910635
355,Stephanie Palmer,F,10th,Huang High School,85,91,0,District,2917,1910635
356,Christine Perry,F,11th,Huang High School,92,97,0,District,2917,1910635
357,Suzanne David,F,10th,Huang High School,83,62,0,District,2917,1910635
358,Amber Smith,F,12th,Huang High School,82,75,0,District,2917,1910635
359,Ryan Jones,M,9th,Huang High School,94,62,0,District,2917,1910635
360,Emily Ford,F,9th,Huang High School,79,61,0,District,2917,1910635
361,Kelsey Shea,F,12th,Huang High School,85,66,0,District,2917,1910635
362,Katherine Wallace,F,12th,Huang High School,65,56,0,District,2917,1910635
363,Erica Conway,F,11th,Huang High School,79,72,0,District,2917,1910635
364,Tyler Parker,M,11th,Huang High School,88,56,0,District,2917,1910635
365,Michael Parks,M,9th,Huang High School,93,58,0,District,2917,1910635
366,Elizabeth Hunt,F,12th,Huang High School,91,58,0,District,2917,1910635
367,Grant Jackson,M,11th,Huang High School,78,61,0,District,2917,1910635
368,Daniel Matthews,M,9th,Huang High School,78,78,0,District,2917,1910635
369,Diana Silva,F,9th,Huang High School,69,82,0,District,2917,1910635
370,Frank Garza,M,11th,Huang High School,84,95,0,District,2917,1910635
371,Terri Fischer,F,10th,Huang High School,68,55,0,District,2917,1910635
372,Robert Goodwin,M,12th,Huang High School,95,92,0,District,2917,1910635
373,Bobby Ruiz,M,10th,Huang High School,65,97,0,District,2917,1910635
374,Stephanie Taylor,F,12th,Huang High School,75,97,0,District,2917,1910635
375,Erin Hill,F,10th,Huang High School,68,98,0,District,2917,1910635
376,Erin Cohen,F,10th,Huang High School,71,74,0,District,2917,1910635
377,Jeffrey Morris,M,9th,Huang High School,84,57,0,District,2917,1910635
378,Elizabeth Simpson,F,10th,Huang High School,97,63,0,District,2917,1910635
379,Jennifer Davis,F,11th,Huang High School,96,68,0,District,2917,1910635
380,Rachel Burton,F,9th,Huang High School,75,75,0,District,2917,1910635
381,Joseph Wilkins,M,9th,Huang High School,66,95,0,District,2917,1910635
