,,age_grp,Count,Notes,Rate,Statistics
13,Year,10-14,,,,Caldwell
14,Total for selection,10-14,113.0,,2.6,
14,Year,10-14,,,,Callaway
15,Total for selection,10-14,95.0,,2.69,
15,Year,10-14,,,,Camden
16,Total for selection,10-14,150.0,,2.16,
16,Year,10-14,,,,Cape Girardeau
17,Total for selection,10-14,28.0,,2.76,
17,Year,10-14,,,,Carroll
18,Total for selection,10-14,16.0,*,2.47,
18,Year,10-14,,,,Carter
19,2001,10-14,,*,,
19,2002,10-14,,*,,
19,2003,10-14,,*,,
19,2004,10-14,,*,,
19,2005,10-14,,*,,
19,2006,10-14,,*,,
19,2007,10-14,,*,,
19,2008,10-14,,*,,
19,2009,10-14,,*,,
19,2010,10-14,,*,,
19,2011,10-14,,*,,
19,2012,10-14,,*,,
19,2013,10-14,,*,,
19,2014,10-14,,*,,
19,2015,10-14,,*,,
19,2001,10-14,12.0,,1.72,
19,2002,10-14,17.0,,2.37,
19,2003,10-14,11.0,,1.54,
19,2004,10-14,14.0,,1.92,
19,2005,10-14,19.0,,2.57,
19,2006,10-14,14.0,,1.9,
19,2007,10-14,9.0,,1.19,
19,2008,10-14,15.0,,1.96,
19,2009,10-14,12.0,,1.55,
19,2010,10-14,14.0,,1.81,
19,2011,10-14,11.0,,1.42,
19,2012,10-14,19.0,,2.46,
19,2013,10-14,11.0,,1.44,
19,2014,10-14,14.0,,1.85,
19,2015,10-14,18.0,,2.43,
19,Total for selection,10-14,210.0,,1.87,
19,Year,10-14,,,,Cass
20,Total for selection,10-14,45.0,,3.0,
20,Year,10-14,,,,Cedar
21,Total for selection,10-14,11.0,*,1.44,
21,Year,10-14,,,,Chariton
22,Total for selection,10-14,66.0,,0.79,
22,Year,10-14,,,,Christian
23,Total for selection,10-14,6.0,*,0.82,
23,Year,10-14,,,,Clark
24,2001,10-14,31.0,,2.31,
24,2002,10-14,31.0,,2.27,
24,2003,10-14,29.0,,2.06,
24,2004,10-14,28.0,,1.97,
24,2005,10-14,26.0,,1.84,
24,2006,10-14,27.0,,1.85,
24,2007,10-14,23.0,,1.56,
24,2008,10-14,23.0,,1.54,
24,2009,10-14,23.0,,1.51,
24,2010,10-14,23.0,,1.48,
24,2011,10-14,35.0,,2.21,
24,2012,10-14,21.0,,1.31,
24,2013,10-14,53.0,,3.25,
24,2014,10-14,34.0,,2.04,
24,2015,10-14,57.0,,3.42,
24,Total for selection,10-14,464.0,,2.06,
24,Year,10-14,,,,Clay
25,Total for selection,10-14,53.0,,2.4,
25,Year,10-14,,,,Clinton
26,Total for selection,10-14,148.0,,2.0,
26,Year,10-14,,,,Cole
27,Total for selection,10-14,45.0,,2.66,
27,Year,10-14,,,,Cooper
28,Total for selection,10-14,74.0,,2.88,
28,Year,10-14,,,,Crawford
29,Total for selection,10-14,14.0,*,1.68,
29,Year,10-14,,,,Dade
30,Total for selection,10-14,32.0,,1.77,
30,Year,10-14,,,,Dallas
31,Total for selection,10-14,26.0,,2.81,
31,Year,10-14,,,,Daviess
32,Total for selection,10-14,16.0,*,1.59,
32,Year,10-14,,,,DeKalb
33,Total for selection,10-14,79.0,,4.9,
33,Year,10-14,,,,Dent
34,Total for selection,10-14,13.0,*,0.95,
34,Year,10-14,,,,Douglas
35,2001,10-14,,*,,
35,2002,10-14,,*,,
35,2003,10-14,,*,,
35,2004,10-14,,*,,
35,2005,10-14,,*,,
35,2006,10-14,,*,,
35,2007,10-14,,*,,
35,2008,10-14,,*,,
35,2009,10-14,,*,,
35,2010,10-14,,*,,
35,2011,10-14,,*,,
35,2012,10-14,,*,,
35,2013,10-14,,*,,
35,2014,10-14,,*,,
35,2015,10-14,,*,,
35,2001,10-14,14.0,,5.73,
35,2002,10-14,8.0,,3.23,
35,2003,10-14,11.0,,4.46,
35,2004,10-14,8.0,,3.34,
35,2005,10-14,11.0,,4.59,
35,2006,10-14,12.0,,5.09,
35,2007,10-14,5.0,,2.19,
35,2008,10-14,8.0,,3.49,
35,2009,10-14,14.0,,6.02,
35,2010,10-14,8.0,,3.46,
35,2011,10-14,7.0,,2.97,
35,2012,10-14,10.0,,4.33,
35,2013,10-14,12.0,,5.16,
35,2014,10-14,11.0,,4.87,
35,2015,10-14,15.0,,7.06,
35,Total for selection,10-14,154.0,,4.38,
35,Year,10-14,,,,Dunklin
36,2001,10-14,,*,,
36,2003,10-14,,*,,
36,2004,10-14,,*,,
36,2005,10-14,,*,,
36,2006,10-14,,*,,
36,2007,10-14,,*,,
36,2008,10-14,,*,,
36,2009,10-14,,*,,
36,2012,10-14,,*,,
36,2013,10-14,,*,,
36,2014,10-14,,*,,
36,2001,10-14,15.0,,1.98,
36,2002,10-14,23.0,,3.03,
36,2003,10-14,10.0,,1.32,
36,2004,10-14,11.0,,1.45,
36,2005,10-14,9.0,,1.21,
36,2006,10-14,16.0,,2.15,
36,2007,10-14,19.0,,2.6,
36,2008,10-14,16.0,,2.2,
36,2009,10-14,12.0,,1.65,
36,2010,10-14,28.0,,3.86,
36,2011,10-14,21.0,,2.93,
36,2012,10-14,17.0,,2.41,
36,2013,10-14,18.0,,2.57,
36,2014,10-14,16.0,,2.29,
36,2015,10-14,20.0,,2.93,
36,Total for selection,10-14,251.0,,2.29,
36,Year,10-14,,,,Franklin
37,Total for selection,10-14,28.0,,1.81,
37,Year,10-14,,,,Gasconade
38,Total for selection,10-14,18.0,*,2.48,
38,Year,10-14,,,,Gentry
39,2006,10-14,,*,,
39,2013,10-14,,*,,
39,2001,10-14,27.0,,1.81,
39,2002,10-14,33.0,,2.2,
39,2003,10-14,30.0,,1.97,
39,2004,10-14,39.0,,2.56,
39,2005,10-14,29.0,,1.9,
39,2006,10-14,19.0,,1.23,
39,2007,10-14,33.0,,2.14,
39,2008,10-14,42.0,,2.72,
39,2009,10-14,43.0,,2.76,
39,2010,10-14,36.0,,2.31,
39,2011,10-14,29.0,,1.86,
39,2012,10-14,22.0,,1.4,
39,2013,10-14,16.0,,1.0,
39,2014,10-14,24.0,,1.49,
39,2015,10-14,32.0,,1.97,
39,Total for selection,10-14,454.0,,1.95,
39,Year,10-14,,,,Greene
40,Total for selection,10-14,23.0,,2.29,
40,Year,10-14,,,,Grundy
41,Total for selection,10-14,21.0,,2.38,
41,Year,10-14,,,,Harrison
42,Total for selection,10-14,50.0,,2.29,
42,Year,10-14,,,,Henry
43,Total for selection,10-14,13.0,*,1.72,
43,Year,10-14,,,,Hickory
44,Year,10-14,,,,Holt
45,Total for selection,10-14,17.0,*,1.75,
45,Year,10-14,,,,Howard
46,Total for selection,10-14,124.0,,2.98,
46,Year,10-14,,,,Howell
47,Total for selection,10-14,34.0,,3.19,
47,Year,10-14,,,,Iron
48,2001,10-14,117.0,,2.41,
48,2002,10-14,134.0,,2.74,
48,2003,10-14,123.0,,2.52,
48,2004,10-14,111.0,,2.31,
48,2005,10-14,88.0,,1.9,
48,2006,10-14,80.0,,1.76,
48,2007,10-14,79.0,,1.77,
48,2008,10-14,79.0,,1.79,
48,2009,10-14,69.0,,1.56,
48,2010,10-14,84.0,,1.88,
48,2011,10-14,87.0,,1.93,
48,2012,10-14,70.0,,1.56,
48,2013,10-14,92.0,,2.04,
48,2014,10-14,108.0,,2.41,
48,2015,10-14,134.0,,2.97,
48,Total for selection,10-14,1455.0,,2.12,
48,Year,10-14,,,,Jackson
49,2007,10-14,,*,,
49,2014,10-14,,*,,
49,2015,10-14,,*,,
49,2001,10-14,20.0,,2.65,
49,2002,10-14,34.0,,4.43,
49,2003,10-14,27.0,,3.5,
49,2004,10-14,28.0,,3.57,
49,2005,10-14,33.0,,4.23,
49,2006,10-14,24.0,,3.08,
49,2007,10-14,19.0,,2.45,
49,2008,10-14,24.0,,3.05,
49,2009,10-14,23.0,,2.94,
49,2010,10-14,25.0,,3.14,
49,2011,10-14,30.0,,3.65,
49,2012,10-14,28.0,,3.47,
49,2013,10-14,33.0,,4.04,
49,2014,10-14,15.0,,1.81,
49,2015,10-14,19.0,,2.25,
49,Total for selection,10-14,382.0,,3.21,
49,Year,10-14,,,,Jasper
50,2006,10-14,,*,,
50,2008,10-14,,*,,
50,2014,10-14,,*,,
50,2001,10-14,23.0,,1.41,
50,2002,10-14,39.0,,2.38,
50,2003,10-14,28.0,,1.7,
50,2004,10-14,31.0,,1.91,
50,2005,10-14,23.0,,1.45,
50,2006,10-14,16.0,,1.02,
50,2007,10-14,20.0,,1.28,
50,2008,10-14,17.0,,1.1,
50,2009,10-14,31.0,,2.0,
50,2010,10-14,29.0,,1.88,
50,2011,10-14,25.0,,1.62,
50,2012,10-14,27.0,,1.76,
50,2013,10-14,20.0,,1.31,
50,2014,10-14,16.0,,1.05,
50,2015,10-14,28.0,,1.85,
50,Total for selection,10-14,373.0,,1.59,
50,Year,10-14,,,,Jefferson
51,Total for selection,10-14,69.0,,1.41,
51,Year,10-14,,,,Johnson
52,Total for selection,10-14,8.0,*,1.81,
52,Year,10-14,,,,Knox
53,Total for selection,10-14,176.0,,4.69,
53,Year,10-14,,,,Laclede
54,Total for selection,10-14,83.0,,2.29,
54,Year,10-14,,,,Lafayette
55,2001,10-14,,*,,
55,2002,10-14,,*,,
55,2003,10-14,,*,,
55,2004,10-14,,*,,
55,2005,10-14,,*,,
55,2006,10-14,,*,,
55,2007,10-14,,*,,
55,2008,10-14,,*,,
55,2009,10-14,,*,,
55,2010,10-14,,*,,
55,2011,10-14,,*,,
55,2012,10-14,,*,,
55,2013,10-14,,*,,
55,2014,10-14,,*,,
55,2015,10-14,,*,,
55,2001,10-14,7.0,,2.49,
55,2002,10-14,6.0,,2.08,
55,2003,10-14,5.0,,1.72,
55,2004,10-14,15.0,,5.07,
55,2005,10-14,8.0,,2.72,
55,2006,10-14,6.0,,2.0,
55,2007,10-14,6.0,,2.0,
55,2008,10-14,10.0,,3.4,
55,2009,10-14,14.0,,4.75,
55,2010,10-14,5.0,,1.7,
55,2011,10-14,9.0,,3.01,
55,2012,10-14,6.0,,2.02,
55,2013,10-14,5.0,,1.75,
55,2014,10-14,6.0,,2.11,
55,2015,10-14,8.0,,2.87,
55,Total for selection,10-14,116.0,,2.65,
55,Year,10-14,,,,Lawrence
56,Year,10-14,,,,Lewis
57,Total for selection,10-14,160.0,,2.63,
57,Year,10-14,,,,Lincoln
58,Total for selection,10-14,34.0,,2.48,
58,Year,10-14,,,,Linn
59,Total for selection,10-14,28.0,,2.04,
59,Year,10-14,,,,Livingston
60,Total for selection,10-14,33.0,,2.04,
60,Year,10-14,,,,Macon
61,Total for selection,10-14,57.0,,4.5,
61,Year,10-14,,,,Madison
62,Total for selection,10-14,15.0,*,1.61,
62,Year,10-14,,,,Maries
63,Total for selection,10-14,51.0,,1.75,
63,Year,10-14,,,,Marion
64,Total for selection,10-14,56.0,,2.04,
64,Year,10-14,,,,McDonald
65,Year,10-14,,,,Mercer
66,Total for selection,10-14,73.0,,2.75,
66,Year,10-14,,,,Miller
67,Total for selection,10-14,34.0,,2.58,
67,Year,10-14,,,,Mississippi
68,Total for selection,10-14,30.0,,1.78,
68,Year,10-14,,,,Moniteau
69,Total for selection,10-14,14.0,*,1.5,
69,Year,10-14,,,,Monroe
70,Total for selection,10-14,15.0,*,1.21,
70,Year,10-14,,,,Montgomery
71,Total for selection,10-14,44.0,,2.22,
71,Year,10-14,,,,Morgan
72,Total for selection,10-14,42.0,,2.12,
72,Year,10-14,,,,New Madrid
73,2001,10-14,,*,,
73,2002,10-14,,*,,
73,2003,10-14,,*,,
73,2004,10-14,,*,,
73,2005,10-14,,*,,
73,2006,10-14,,*,,
73,2007,10-14,,*,,
73,2008,10-14,,*,,
73,2009,10-14,,*,,
73,2010,10-14,,*,,
73,2011,10-14,,*,,
73,2012,10-14,,*,,
73,2013,10-14,,*,,
73,2014,10-14,,*,,
73,2015,10-14,,*,,
73,2001,10-14,10.0,,2.5,
73,2002,10-14,13.0,,3.25,
73,2003,10-14,11.0,,2.69,
73,2004,10-14,13.0,,3.15,
73,2005,10-14,13.0,,3.11,
73,2006,10-14,10.0,,2.35,
73,2007,10-14,14.0,,3.24,
73,2008,10-14,10.0,,2.35,
73,2009,10-14,11.0,,2.54,
73,2010,10-14,10.0,,2.33,
73,2011,10-14,13.0,,3.03,
73,2012,10-14,7.0,,1.63,
73,2013,10-14,10.0,,2.37,
73,2014,10-14,10.0,,2.45,
73,2015,10-14,12.0,,2.97,
73,Total for selection,10-14,167.0,,2.66,
73,Year,10-14,,,,Newton
74,Total for selection,10-14,15.0,*,0.9,
74,Year,10-14,,,,Nodaway
75,Total for selection,10-14,26.0,,2.43,
75,Year,10-14,,,,Oregon
76,Total for selection,10-14,19.0,*,1.28,
76,Year,10-14,,,,Osage
77,Total for selection,10-14,18.0,*,2.11,
77,Year,10-14,,,,Ozark
78,Total for selection,10-14,66.0,,2.94,
78,Year,10-14,,,,Pemiscot
79,Total for selection,10-14,51.0,,2.57,
79,Year,10-14,,,,Perry
80,Total for selection,10-14,102.0,,2.31,
80,Year,10-14,,,,Pettis
81,Total for selection,10-14,121.0,,2.98,
81,Year,10-14,,,,Phelps
82,Total for selection,10-14,65.0,,3.57,
82,Year,10-14,,,,Pike
83,2001,10-14,,*,,
83,2002,10-14,,*,,
83,2003,10-14,,*,,
83,2004,10-14,,*,,
83,2005,10-14,,*,,
83,2006,10-14,,*,,
83,2007,10-14,,*,,
83,2008,10-14,,*,,
83,2009,10-14,,*,,
83,2010,10-14,,*,,
83,2011,10-14,,*,,
83,2012,10-14,,*,,
83,2013,10-14,,*,,
83,2014,10-14,,*,,
83,2015,10-14,,*,,
83,2001,10-14,10.0,,1.79,
83,2002,10-14,12.0,,2.06,
83,2003,10-14,16.0,,2.73,
83,2004,10-14,10.0,,1.65,
83,2005,10-14,11.0,,1.83,
83,2006,10-14,9.0,,1.5,
83,2007,10-14,6.0,,0.98,
83,2008,10-14,9.0,,1.43,
83,2009,10-14,8.0,,1.26,
83,2010,10-14,5.0,,0.79,
83,2011,10-14,8.0,,1.25,
83,2012,10-14,6.0,,0.93,
83,2013,10-14,11.0,,1.68,
83,2014,10-14,16.0,,2.41,
83,2015,10-14,11.0,,1.64,
83,Total for selection,10-14,148.0,,1.59,
83,Year,10-14,,,,Platte
84,Total for selection,10-14,84.0,,2.64,
84,Year,10-14,,,,Polk
85,Total for selection,10-14,63.0,,1.34,
85,Year,10-14,,,,Pulaski
86,Total for selection,10-14,9.0,*,1.76,
86,Year,10-14,,,,Putnam
87,Total for selection,10-14,19.0,*,1.83,
87,Year,10-14,,,,Ralls
88,Total for selection,10-14,79.0,,3.18,
88,Year,10-14,,,,Randolph
89,Total for selection,10-14,82.0,,3.04,
89,Year,10-14,,,,Ray
90,Total for selection,10-14,29.0,,4.43,
90,Year,10-14,,,,Reynolds
91,Total for selection,10-14,88.0,,6.07,
91,Year,10-14,,,,Ripley
92,Total for selection,10-14,63.0,,2.77,
92,Year,10-14,,,,Saline
93,Total for selection,10-14,5.0,*,1.01,
93,Year,10-14,,,,Schuyler
94,Total for selection,10-14,26.0,,4.34,
94,Year,10-14,,,,Scotland
95,Total for selection,10-14,109.0,,2.57,
95,Year,10-14,,,,Scott
96,Total for selection,10-14,26.0,,2.89,
96,Year,10-14,,,,Shannon
97,Total for selection,10-14,9.0,*,1.28,
97,Year,10-14,,,,Shelby
98,2001,10-14,31.0,,1.25,
98,2002,10-14,43.0,,1.71,
98,2003,10-14,42.0,,1.65,
98,2004,10-14,39.0,,1.52,
98,2005,10-14,27.0,,1.05,
98,2006,10-14,29.0,,1.11,
98,2007,10-14,22.0,,0.84,
98,2008,10-14,31.0,,1.18,
98,2009,10-14,23.0,,0.87,
98,2010,10-14,33.0,,1.24,
98,2011,10-14,42.0,,1.56,
98,2012,10-14,46.0,,1.71,
98,2013,10-14,44.0,,1.63,
98,2014,10-14,39.0,,1.44,
98,2015,10-14,41.0,,1.52,
98,Total for selection,10-14,532.0,,1.35,
98,Year,10-14,,,,St. Charles
99,Total for selection,10-14,27.0,,3.02,
99,Year,10-14,,,,St. Clair
100,2001,10-14,,*,,
100,2002,10-14,,*,,
100,2005,10-14,,*,,
100,2006,10-14,,*,,
100,2007,10-14,,*,,
100,2008,10-14,,*,,
100,2009,10-14,,*,,
100,2010,10-14,,*,,
100,2012,10-14,,*,,
100,2014,10-14,,*,,
100,2001,10-14,15.0,,3.87,
100,2002,10-14,16.0,,4.13,
100,2003,10-14,21.0,,5.48,
100,2004,10-14,24.0,,6.15,
100,2005,10-14,13.0,,3.35,
100,2006,10-14,17.0,,4.46,
100,2007,10-14,12.0,,3.1,
100,2008,10-14,17.0,,4.36,
100,2009,10-14,16.0,,4.13,
100,2010,10-14,13.0,,3.3,
100,2011,10-14,22.0,,5.46,
100,2012,10-14,8.0,,1.96,
100,2013,10-14,22.0,,5.32,
100,2014,10-14,17.0,,4.12,
100,2015,10-14,20.0,,4.8,
100,Total for selection,10-14,253.0,,4.26,
100,Year,10-14,,,,St. Francois
101,2009,10-14,,*,,
101,2010,10-14,,*,,
101,2011,10-14,,*,,
101,2001,10-14,45.0,,1.81,
101,2002,10-14,40.0,,1.62,
101,2003,10-14,63.0,,2.57,
101,2004,10-14,49.0,,2.04,
101,2005,10-14,46.0,,2.02,
101,2006,10-14,34.0,,1.62,
101,2007,10-14,30.0,,1.54,
101,2008,10-14,23.0,,1.26,
101,2009,10-14,9.0,,0.52,
101,2010,10-14,16.0,,0.95,
101,2011,10-14,18.0,,1.08,
101,2012,10-14,22.0,,1.36,
101,2013,10-14,21.0,,1.33,
101,2014,10-14,28.0,,1.78,
101,2015,10-14,21.0,,1.39,
101,Total for selection,10-14,465.0,,1.59,
101,Year,10-14,,,,St. Louis City
102,2001,10-14,101.0,,1.34,
102,2002,10-14,113.0,,1.49,
102,2003,10-14,130.0,,1.71,
102,2004,10-14,125.0,,1.65,
102,2005,10-14,129.0,,1.74,
102,2006,10-14,116.0,,1.59,
102,2007,10-14,79.0,,1.11,
102,2008,10-14,88.0,,1.25,
102,2009,10-14,92.0,,1.34,
102,2010,10-14,94.0,,1.38,
102,2011,10-14,78.0,,1.17,
102,2012,10-14,102.0,,1.55,
102,2013,10-14,92.0,,1.42,
102,2014,10-14,73.0,,1.12,
102,2015,10-14,92.0,,1.44,
102,Total for selection,10-14,1504.0,,1.43,
102,Year,10-14,,,,St. Louis County
103,Total for selection,10-14,25.0,,1.28,
103,Year,10-14,,,,Ste. Genevieve
104,Total for selection,10-14,108.0,,3.69,
104,Year,10-14,,,,Stoddard
105,Total for selection,10-14,70.0,,2.54,
105,Year,10-14,,,,Stone
106,Total for selection,10-14,15.0,*,2.1,
106,Year,10-14,,,,Sullivan
107,Total for selection,10-14,123.0,,2.71,
107,Year,10-14,,,,Taney
108,Total for selection,10-14,118.0,,4.88,
108,Year,10-14,,,,Texas
109,Total for selection,10-14,57.0,,2.54,
109,Year,10-14,,,,Vernon
110,Total for selection,10-14,85.0,,2.58,
110,Year,10-14,,,,Warren
111,Total for selection,10-14,130.0,,4.99,
111,Year,10-14,,,,Washington
112,Total for selection,10-14,30.0,,2.39,
112,Year,10-14,,,,Wayne
113,Total for selection,10-14,70.0,,1.63,
113,Year,10-14,,,,Webster
114,Total for selection,10-14,8.0,*,3.64,
114,Year,10-14,,,,Worth
115,Total for selection,10-14,36.0,,1.77,
115,Year,10-14,,,,Wright
116,2001,10-14,862.0,,2.06,
116,2002,10-14,956.0,,2.29,
116,2003,10-14,936.0,,2.23,
116,2004,10-14,1001.0,,2.4,
116,2005,10-14,890.0,,2.17,
116,2006,10-14,786.0,,1.93,
116,2007,10-14,662.0,,1.65,
116,2008,10-14,762.0,,1.91,
116,2009,10-14,789.0,,1.99,
116,2010,10-14,764.0,,1.92,
116,2011,10-14,765.0,,1.93,
116,2012,10-14,724.0,,1.84,
116,2013,10-14,824.0,,2.1,
116,2014,10-14,777.0,,1.98,
116,2015,10-14,935.0,,2.4,
116,Total for selection,10-14,12433.0,,2.06,
116,Year,10-14,,,,Total for selection
117,2001,10-14,863.0,,2.08,
117,2002,10-14,956.0,,2.29,
117,2003,10-14,936.0,,2.23,
117,2004,10-14,1002.0,,2.4,
117,2005,10-14,891.0,,2.17,
117,2006,10-14,787.0,,1.93,
117,2007,10-14,662.0,,1.65,
117,2008,10-14,762.0,,1.91,
117,2009,10-14,789.0,,1.99,
117,2010,10-14,764.0,,1.92,
117,2011,10-14,765.0,,1.93,
117,2012,10-14,724.0,,1.84,
117,2013,10-14,825.0,,2.1,
117,2014,10-14,777.0,,1.98,
117,2015,10-14,935.0,,2.4,
117,Total for selection,10-14,12438.0,,2.06,
117,Year,10-14,,,,Missouri
